Title,Other titles,ISBN,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Genre
10 dance,Ten dance,9.78163E+12,"Inouesatoh, artist ; author [person]",,,United States of America,New York,Kodansha Comics,2019,Comic or graphic novel ; Fiction ; Novel
100 Bullets : Brother Lono,Brother Lono,9.7814E+12,"Azzarello, Brian, author [person] ; Risso, Eduardo, illustrator [person]",,,United States of America,New York,DC Comics ; Vertigo,2014,Comic or graphic novel ; Novel
100 Bullets : the deluxe edition book five,One hundred bullets,9781401242718 ; 9781401261337,"Johnson, Dave, 1966-, illustrator [person] ; Mulvihill, Patricia, illustrator [person] ; Risso, Eduardo, illustrator [person] ; Robins, Clem, 1955-, illustrator [person] ; Azzarello, Brian [person]",,,United States of America,New York,DC Comics ; Vertigo,2013,Comic or graphic novel ; Novel
100 bullets,"Counterfifth detective ; Decayed ; Dirty ; First shot, last call ; Foregone tomorrow ; Hang up on the hang low ; Hard way ; Once upon a crime ; One hundred bullets ; Samurai ; Six feet under the gun ; Split second chance ; Strychnine lives ; Wilt",,"Azzarello, Brian [person] ; Risso, Eduardo [person]",,,England ; United States of America,London ; New York,DC Comics ; Titan,2000-2009,Comic or graphic novel
1000 cuts,Deathmatch. Volume two. A thousand cuts ; Thousand cuts,9.78161E+12,"Jenkins, Paul, 1965-, author [person] ; Carlson, Bryce, novelist [person] ; Magno, Carlos, 1976-, artist [person] ; Harburn, Eric, editor [person]",,,United States of America,"Los Angeles, California",BOOM! Studios,2013,Comic or graphic novel
1000 oceans,"Baker baker ; Beauty of speed ; Bouncing off clouds ; Caught a lite sneeze ; Comic book tattoo : narrative art inspired by the lyrics and music of Tori Amos ; Cornflake girl ; Crazy ; Crucify ; Devils and Gods ; Father Lucifer ; Flying Dutchman ; Girl ; Glory of the 80's ; God ; Gold dust ; Here, in my head ; Hey Jupiter ; Honey ; I can't see New York ; Jackie's strength ; Leather ; Lieee ; Little Amsterdam ; Little earthquakes ; Marianne ; Merman ; Mr. Zebra ; Northern lad ; Pandora's aquarium ; Past the mission ; Pirates ; Precious things ; Pretty good year ; Programmable soda ; Ribbons undone ; Roosterspur Bridge ; Scarlet's walk ; Silent all these years ; Siren ; Snow cherries from France ; Space dog ; Suede ; Sugar ; Sweet the sting ; Take to the sky ; Teenage hustling ; The beekeeper ; The waitress ; Toast ; Upside down ; Winter",9781582409641 ; 9781582409658 ; 9781582409665 ; 9781607060314,"Hoseley, Rantz [person] ; Amos, Tori [person]",,,United States of America,"Berkeley, California",Image Comics,2008,Comic or graphic novel
1000 opas and a dead body,Eighty eyes on an evil island ; Five funerals and a bucket of blood ; Image Comics presents Skullkickers ; Six shooter on the seven seas ; Skull kickers ; Skullkickers,,"Huang, Edwin [person] ; Zubkavich, Jim [person]",,,United States of America,"Berkeley, California",Image Comics,2010-,Comic or graphic novel
1000 ways to die,,9.78098E+12,"Beers, Thom [person] ; Sunico, Vincent [person] ; Brown, Chuck [person] ; Tedesco, Ralph [person] ; Rogers, Matt [person]",,,United States of America,"Horsham, Pennsylvania",Zenescope Entertainment,2012,Comic or graphic novel ; Novel
10000 bullets,"10,000 bullets ; Hitman. Ten thousand bullets ; Ten thousand bullets",9781401218423 ; 9781848565524,"Ennis, Garth [person] ; McCrea, John, 1966- [person] ; Pugh, Steve, 1966- [person] ; Ezquerra, Carlos [person]",,,England ; United States of America,London ; New York,DC Comics ; Titan,2010,Comic or graphic novel
1001 nights of snowfall,One thousand and one nights of snowfall ; Thousand and one nights of snowfall,9.78185E+12,"Willingham, Bill [person]",Fables,,England,London,Titan,2006,Comic or graphic novel ; Fiction ; Novel
